('EBIT', '8,730,000.00', '10,129,000.00', '13,910,000.00', '6,714,000.00', '1,902,000.00')
         999328 function calls (967565 primitive calls) in 3.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    1.225    0.004    1.225    0.004 {method 'read' of '_ssl._SSLSocket' objects}
207621/207617    0.153    0.000    0.199    0.000 {built-in method builtins.isinstance}
19273/5423    0.130    0.000    0.303    0.000 element.py:2336(_matches)
        1    0.097    0.097    0.097    0.097 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.092    0.092    0.092    0.092 {method 'connect' of '_socket.socket' objects}
        1    0.068    0.068    0.068    0.068 {built-in method _socket.getaddrinfo}
     2711    0.066    0.000    0.330    0.000 parser.py:301(parse_starttag)
 3213/196    0.061    0.000    0.229    0.001 _parser.py:512(_parse)
    71218    0.048    0.000    0.048    0.000 {method 'append' of 'list' objects}
        2    0.048    0.024    0.562    0.281 parser.py:134(goahead)
 3970/188    0.047    0.000    0.127    0.001 _compiler.py:37(_compile)
    24998    0.043    0.000    0.043    0.000 {method 'match' of 're.Pattern' objects}
56135/51377    0.039    0.000    0.045    0.000 {built-in method builtins.len}
    10928    0.039    0.000    0.452    0.000 element.py:2303(search)
     5490    0.036    0.000    0.386    0.000 element.py:2240(search_tag)
    46713    0.036    0.000    0.036    0.000 {built-in method builtins.hasattr}
        1    0.033    0.033    0.033    0.033 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    23186    0.031    0.000    0.046    0.000 _parser.py:168(__getitem__)
    21676    0.028    0.000    0.045    0.000 <frozen abc>:117(__instancecheck__)
      160    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
     2594    0.022    0.000    0.037    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
        3    0.022    0.007    0.501    0.167 element.py:792(_find_all)
    15045    0.021    0.000    0.036    0.000 element.py:2203(_normalize_search_value)
     2568    0.020    0.000    0.114    0.000 parser.py:379(parse_endtag)
     5660    0.020    0.000    0.079    0.000 __init__.py:586(endData)
